collision_date,day,dd,year,mm,num_collisions,fatalities,injured,weighted_fatalities_injuries,dewp,slp,mxpsd,max,min,fog,temperature,visibility,wind_speed,gust,precipitation,snow_depth,thunder,hail,snow_ice_pellets
2013-02-17,7,17,2013,02,447,0,125,12.5,6.6,1006.6,17.1,35.1,24.1,0.0,29.0,10.0,9.6,35.0,0.0,,0.0,0.0,0.0
2017-02-19,7,19,2017,02,438,0,125,12.5,32.1,1007.5,12.0,64.9,54.0,0.0,59.9,10.0,5.9,20.0,0.0,,0.0,0.0,0.0
2015-03-22,7,22,2015,03,432,0,125,12.5,16.9,1015.9,12.0,46.9,28.9,0.0,39.1,9.7,7.2,22.0,0.0,5.1,0.0,0.0,0.0
2021-08-11,3,11,2021,08,316,0,125,12.5,72.3,1016.4,7.0,89.1,71.1,0.0,79.2,8.3,2.5,17.1,0.83,,0.0,0.0,0.0
2015-04-11,6,11,2015,04,576,0,130,13.0,34.6,1013.2,11.1,57.0,39.0,0.0,54.1,9.5,7.9,25.1,0.0,,0.0,0.0,0.0
2014-03-26,3,26,2014,03,563,0,130,13.0,9.4,1011.4,18.1,39.0,26.1,0.0,33.1,10.0,10.4,28.9,0.0,,0.0,0.0,0.0
2017-10-26,4,26,2017,10,658,0,131,13.0,40.0,1005.3,8.0,66.9,53.1,0.0,56.2,10.0,4.9,14.0,0.0,,0.0,0.0,0.0
2015-12-29,2,29,2015,12,533,0,130,13.0,34.5,1021.8,12.0,46.0,33.8,0.0,39.3,5.8,6.8,21.0,0.33,,0.0,0.0,0.0
2022-12-03,6,03,2022,12,279,0,130,13.0,44.2,1023.2,11.1,57.9,32.0,0.0,52.1,8.2,4.7,22.0,0.0,,0.0,0.0,0.0
2017-01-20,5,20,2017,01,605,0,130,13.0,33.0,1016.1,8.9,48.9,39.0,0.0,41.9,9.3,4.0,,0.0,,0.0,0.0,0.0
2020-11-27,5,27,2020,11,279,0,130,13.0,44.5,1016.9,7.0,64.9,51.1,0.0,56.7,10.0,2.3,,0.08,,0.0,0.0,0.0
2022-10-03,1,03,2022,10,324,0,130,13.0,37.7,1022.6,17.1,60.1,48.0,0.0,50.8,9.4,10.2,26.0,0.01,,0.0,0.0,0.0
2014-07-21,1,21,2014,07,557,0,130,13.0,60.3,1021.3,4.1,84.9,64.0,0.0,73.9,9.8,1.6,,0.0,,0.0,0.0,0.0
2020-02-11,2,11,2020,02,458,0,130,13.0,42.9,1013.4,8.9,48.0,42.1,0.0,44.9,4.8,2.7,15.0,0.37,,0.0,0.0,0.0
2012-11-05,1,05,2012,11,479,0,130,13.0,27.3,1016.3,19.0,48.2,37.9,0.0,42.3,10.0,5.5,23.9,0.0,,0.0,0.0,0.0
2019-02-27,3,27,2019,02,529,0,130,13.0,7.1,1028.3,15.9,36.0,23.0,0.0,26.3,10.0,9.9,20.0,0.0,,0.0,0.0,1.0
2014-02-04,2,04,2014,02,613,0,130,13.0,20.9,1028.4,6.0,42.8,21.9,0.0,28.3,3.8,2.1,,0.84,1.2,0.0,0.0,0.0
2019-02-20,3,20,2019,02,615,0,130,13.0,13.2,1035.4,11.1,36.0,23.0,1.0,28.7,7.1,6.9,,0.0,1.2,0.0,0.0,1.0
2017-02-10,5,10,2017,02,708,0,131,13.0,6.2,1020.6,15.0,44.1,19.0,0.0,24.2,10.0,8.2,27.0,0.82,2.0,0.0,0.0,0.0
